name,batch_size,seqlen,num_heads_qk,num_heads_v,use_initial_state,purpose,gate_mode
o01_c001,1,64,1,1,false,benchmark,random_decay
o04_c001,4,64,1,1,false,benchmark,random_decay
o07_c001,7,64,1,1,false,benchmark,random_decay
o14_c001,14,64,1,1,false,benchmark,random_decay
o01_c002,1,128,1,1,false,benchmark,random_decay
o04_c002,4,128,1,1,false,benchmark,random_decay
o07_c002,7,128,1,1,false,benchmark,random_decay
o14_c002,14,128,1,1,false,benchmark,random_decay
o01_c004,1,256,1,1,false,benchmark,random_decay
o04_c004,4,256,1,1,false,benchmark,random_decay
o07_c004,7,256,1,1,false,benchmark,random_decay
o14_c004,14,256,1,1,false,benchmark,random_decay
o01_c008,1,512,1,1,false,benchmark,random_decay
o04_c008,4,512,1,1,false,benchmark,random_decay
o07_c008,7,512,1,1,false,benchmark,random_decay
o14_c008,14,512,1,1,false,benchmark,random_decay
o01_c016,1,1024,1,1,false,benchmark,random_decay
o04_c016,4,1024,1,1,false,benchmark,random_decay
o07_c016,7,1024,1,1,false,benchmark,random_decay
o14_c016,14,1024,1,1,false,benchmark,random_decay
