name,batch_size,seqlen,num_heads_qk,num_heads_v,use_initial_state,purpose,gate_mode
d64_b1h1_c64,1,4096,1,1,false,benchmark,random_decay
d64_b1h1_c128,1,8192,1,1,false,benchmark,random_decay
d64_b1h1_c256,1,16384,1,1,false,benchmark,random_decay
d64_b1h1_c512,1,32768,1,1,false,benchmark,random_decay
d64_b1h4_c64,1,4096,4,4,false,benchmark,random_decay
d64_b1h4_c128,1,8192,4,4,false,benchmark,random_decay
d64_b1h4_c256,1,16384,4,4,false,benchmark,random_decay
d64_b1h4_c512,1,32768,4,4,false,benchmark,random_decay
d64_b2h2_c256,2,16384,2,2,false,benchmark,random_decay
d64_b4h1_c256,4,16384,1,1,false,benchmark,random_decay
d128_b1h8_c64,1,4096,8,8,false,benchmark,random_decay
d128_b1h8_c128,1,8192,8,8,false,benchmark,random_decay
d128_b1h8_c256,1,16384,8,8,false,benchmark,random_decay
d128_b1h8_c512,1,32768,8,8,false,benchmark,random_decay
d128_b1h8g2_c128,1,8192,2,8,false,benchmark,random_decay
d128_b1h8g2_c512,1,32768,2,8,false,benchmark,random_decay
d128_b2h4_c256,2,16384,4,4,false,benchmark,random_decay
d128_b4h2_c256,4,16384,2,2,false,benchmark,random_decay
d128_b1h12_c256,1,16384,12,12,false,benchmark,random_decay
d128_b1h14_c256,1,16384,14,14,false,benchmark,random_decay
d128_b1h16_c128,1,8192,16,16,false,benchmark,random_decay
d128_b1h16_c256,1,16384,16,16,false,benchmark,random_decay
d128_b1h16_c512,1,32768,16,16,false,benchmark,random_decay
d128_b2h8_c256,2,16384,8,8,false,benchmark,random_decay
d128_b4h4_c256,4,16384,4,4,false,benchmark,random_decay
d128_b1h8g4_c64,1,4096,4,8,false,benchmark,random_decay
d128_b1h8g4_c128,1,8192,4,8,false,benchmark,random_decay
d128_b1h8g4_c256,1,16384,4,8,false,benchmark,random_decay
d128_b1h8g1_c64,1,4096,1,8,false,benchmark,random_decay
d128_b1h8g1_c128,1,8192,1,8,false,benchmark,random_decay
d128_b1h8g1_c256,1,16384,1,8,false,benchmark,random_decay
d128_b1h16_c64,1,4096,16,16,false,benchmark,random_decay
d128_b1h12_c512,1,32768,12,12,false,benchmark,random_decay
d128_b1h12_c1024,1,65536,12,12,false,benchmark,random_decay
d128_b1h32g8_c256,1,16384,8,32,false,benchmark,random_decay
d128_b1h32g8_c512,1,32768,8,32,false,benchmark,random_decay
d128_b4h8g2_c128,4,8192,2,8,false,benchmark,random_decay
d128_b1h64g16_c128,1,8192,16,64,false,benchmark,random_decay
